quarter,industry,employment,avg_hourly_wage,total_wages
2015Q1,manufacturing,27681,27.75,9985790.26
2015Q2,manufacturing,26412,28.7,9853328.53
2015Q3,manufacturing,26090,28.45,9648654.61
2015Q4,manufacturing,26535,28.46,9817358.83
2016Q1,manufacturing,26509,28.64,9871092.82
2016Q2,manufacturing,26864,28.61,9992921.96
2016Q3,manufacturing,26057,28.12,9524892.79
2016Q4,manufacturing,25783,29.78,9982245.42
2017Q1,manufacturing,25517,28.94,9601095.23
2017Q2,manufacturing,24736,28.11,9040665.57
2017Q3,manufacturing,24101,28.41,8901552.2
2017Q4,manufacturing,25048,27.87,9074498.03
2018Q1,manufacturing,25518,28.7,9521378.14
2018Q2,manufacturing,25922,28.2,9503258.54
2018Q3,manufacturing,25919,28.38,9563284.09
2018Q4,manufacturing,26104,28.39,9635126.46
2019Q1,manufacturing,26589,28.25,9765231.65
2019Q2,manufacturing,26960,28.47,9976787.48
2019Q3,manufacturing,26436,27.86,9573242.35
2019Q4,manufacturing,26815,28.56,9954630.51
2020Q1,manufacturing,27476,27.2,9714328.09
2020Q2,manufacturing,27896,27.11,9830523.47
2020Q3,manufacturing,27948,27.07,9836588.18
2020Q4,manufacturing,28785,27.88,10434797.59
2021Q1,manufacturing,30124,28.42,11129243.56
2021Q2,manufacturing,30722,28.6,11422882.6
2021Q3,manufacturing,31919,28.3,11742688.31
2021Q4,manufacturing,31286,27.72,11274650.02
2022Q1,manufacturing,30806,28.34,11349657.32
2022Q2,manufacturing,31114,28.18,11400179.33
2022Q3,manufacturing,31304,29.09,11838557.35
2022Q4,manufacturing,30291,28.04,11040937.14
2023Q1,manufacturing,31003,27.78,11196965.63
2023Q2,manufacturing,31740,28.1,11595248.96
2023Q3,manufacturing,31464,28.22,11541677.72
2023Q4,manufacturing,31667,28.14,11585779.78
2024Q1,manufacturing,32724,28.13,11968644.61
2024Q2,manufacturing,33606,28.86,12609982.01
2024Q3,manufacturing,33571,29.01,12661941.5
2024Q4,manufacturing,34912,28.64,13000293.93
2015Q1,services,48202,36.15,22655171.09
2015Q2,services,49438,36.78,23638401.7
2015Q3,services,49171,35.97,22993368.59
2015Q4,services,50532,35.52,23332654.0
2016Q1,services,51357,34.4,22967393.39
2016Q2,services,52157,35.04,23761975.08
2016Q3,services,50599,35.69,23478452.5
2016Q4,services,50250,35.85,23418430.43
2017Q1,services,47861,35.31,21970107.03
2017Q2,services,49753,35.85,23186023.53
2017Q3,services,48847,36.21,22992188.06
2017Q4,services,48767,36.24,22977084.27
2018Q1,services,48579,36.8,23241693.69
2018Q2,services,48915,36.02,22907465.59
2018Q3,services,47280,35.38,21743716.92
2018Q4,services,48415,35.43,22297159.63
2019Q1,services,49483,34.98,22501597.06
2019Q2,services,49511,36.28,23348508.22
2019Q3,services,49747,35.65,23058366.35
2019Q4,services,50774,36.74,24251688.55
2020Q1,services,51407,36.63,24480653.91
2020Q2,services,52582,35.57,24315102.02
2020Q3,services,53018,36.6,25226334.87
2020Q4,services,51904,35.27,23798428.78
2021Q1,services,51466,34.68,23204547.29
2021Q2,services,51447,36.24,24234862.44
2021Q3,services,51676,35.04,23542416.04
2021Q4,services,49502,35.96,23139759.55
2022Q1,services,50343,36.44,23847806.03
2022Q2,services,50215,34.97,22827598.79
2022Q3,services,50556,35.4,23266654.69
2022Q4,services,48931,36.43,23174422.15
2023Q1,services,47342,36.3,22341252.5
2023Q2,services,46446,36.04,21759345.2
2023Q3,services,47172,36.18,22189342.08
2023Q4,services,46799,36.21,22029884.11
2024Q1,services,45281,34.8,20484004.26
2024Q2,services,44477,36.14,20895577.64
2024Q3,services,44937,35.98,21018135.92
2024Q4,services,45363,35.33,20836694.84
2015Q1,retail,34709,33.34,15045004.03
2015Q2,retail,34203,32.49,14444408.7
2015Q3,retail,34146,33.5,14869996.85
2015Q4,retail,34021,32.73,14475450.42
2016Q1,retail,34071,33.86,14998689.86
2016Q2,retail,33549,33.41,14569953.18
2016Q3,retail,33100,33.05,14221585.74
2016Q4,retail,33609,33.04,14435079.45
2017Q1,retail,33932,33.2,14643194.49
2017Q2,retail,34052,33.52,14836662.29
2017Q3,retail,35194,32.53,14884597.97
2017Q4,retail,34660,33.39,15045673.96
2018Q1,retail,36885,33.55,16086086.82
2018Q2,retail,38320,32.52,16201498.51
2018Q3,retail,38263,34.15,16987081.79
2018Q4,retail,39626,33.27,17139802.72
2019Q1,retail,39939,33.38,17332951.5
2019Q2,retail,40893,33.59,17858104.27
2019Q3,retail,41263,33.75,18105346.09
2019Q4,retail,44055,32.76,18764686.47
2020Q1,retail,43740,32.98,18753661.08
2020Q2,retail,43863,33.0,18815311.69
2020Q3,retail,42043,33.49,18305918.64
2020Q4,retail,41633,32.34,17502842.99
2021Q1,retail,40693,32.64,17266138.1
2021Q2,retail,39704,33.0,17035169.6
2021Q3,retail,40758,33.42,17705328.71
2021Q4,retail,40558,33.99,17921055.03
2022Q1,retail,40199,32.99,17242281.25
2022Q2,retail,39639,33.12,17066974.31
2022Q3,retail,40206,32.47,16969598.25
2022Q4,retail,39721,34.33,17726775.46
2023Q1,retail,39009,33.39,16931652.61
2023Q2,retail,38982,33.23,16839185.74
2023Q3,retail,38925,32.89,16643019.14
2023Q4,retail,39185,33.31,16968862.89
2024Q1,retail,40025,34.45,17924238.03
2024Q2,retail,39893,34.03,17649159.03
2024Q3,retail,41332,33.36,17922479.18
2024Q4,retail,40513,33.32,17548152.4
2015Q1,public,48682,30.81,19498668.6
2015Q2,public,49580,31.3,20173792.24
2015Q3,public,47758,31.45,19527395.9
2015Q4,public,48780,30.19,19142001.91
2016Q1,public,49744,30.12,19474806.73
2016Q2,public,49256,31.18,19963612.09
2016Q3,public,49585,31.15,20080604.35
2016Q4,public,51020,31.64,20983274.26
2017Q1,public,51294,31.51,21011368.76
2017Q2,public,50330,31.2,20412728.89
2017Q3,public,50141,31.93,20811445.88
2017Q4,public,50053,31.57,20540025.52
2018Q1,public,49798,30.55,19775938.98
2018Q2,public,50459,31.48,20651643.39
2018Q3,public,50337,29.94,19595213.88
2018Q4,public,49496,31.87,20506619.68
2019Q1,public,50421,31.59,20707949.05
2019Q2,public,51180,31.27,20805253.64
2019Q3,public,51525,31.87,21344628.4
2019Q4,public,50691,31.87,21000628.63
2020Q1,public,51405,30.68,20503509.5
2020Q2,public,51783,31.48,21189986.5
2020Q3,public,51870,30.9,20836642.42
2020Q4,public,50655,30.69,20211996.85
2021Q1,public,50420,30.78,20173356.38
2021Q2,public,51671,31.31,21031697.68
2021Q3,public,50126,31.47,20509762.95
2021Q4,public,50625,31.29,20591023.55
2022Q1,public,51210,31.61,21041149.97
2022Q2,public,52105,31.69,21468484.04
2022Q3,public,53136,31.58,21816109.47
2022Q4,public,53839,31.04,21725941.48
2023Q1,public,54385,31.38,22187188.39
2023Q2,public,52913,30.72,21129272.81
2023Q3,public,51505,30.84,20651279.11
2023Q4,public,52447,31.36,21380778.19
2024Q1,public,51742,31.2,20986506.33
2024Q2,public,51858,31.0,20899570.43
2024Q3,public,51169,31.12,20703959.17
2024Q4,public,51878,31.24,21069587.75
